cause_key,cause_value,effect_key,effect_value,epsilon,z
activity,T02 Check confirmation of receipt - Resource26,activity,Case Delayed,-0.007742968812852599,-0.40273874355404204
activity,T05 Print and send confirmation of receipt - Resource18,activity,Case Delayed,0.0018306636395616107,-0.2173704729155431
activity,T11 Create document X request unlicensed - Resource02,activity,Case Delayed,0.01575607067596589,0.0522584932167953
activity,T02 Check confirmation of receipt - Resource18,activity,Case Delayed,0.011276156077279881,-0.034483297414322774
activity,T11 Create document X request unlicensed - Resource08,activity,Case Delayed,0.018304908464452485,0.1016100486831503
activity,T02 Check confirmation of receipt - Resource01,activity,Case Delayed,-0.017569034141505794,-0.5929947144414599
activity,T07-5 Draft intern advice aspect 5 - Resource37,activity,Case Delayed,0.022436237912831728,0.1816024025875292
activity,T03 Adjust confirmation of receipt - Resource26,activity,Case Delayed,0.000346220737885018,-0.2461128144367068
activity,T11 Create document X request unlicensed - Resource06,activity,Case Delayed,0.0019857118363710425,-0.21436837144036744
activity,Confirmation of receipt - Resource08,activity,Case Delayed,0.01723795193922808,0.08095123533196137
activity,T06 Determine necessity of stop advice - Resource15,activity,Case Delayed,-0.009223420070370653,-0.43140379736039636
activity,T14 Determine document X request unlicensed - Resource06,activity,Case Delayed,0.006890980713520662,-0.11939071136268391
activity,Confirmation of receipt - Resource18,activity,Case Delayed,0.01977951904382626,0.1301620130835406
activity,T07-2 Draft intern advice aspect 2 - Resource25,activity,Case Delayed,0.014896436073381838,0.03561392487201454
activity,T06 Determine necessity of stop advice - Resource35,activity,Case Delayed,0.024132840131803092,0.2144526525689617
activity,T05 Print and send confirmation of receipt - Resource21,activity,Case Delayed,-0.022699465607328363,-0.692332057208264
activity,T12 Check document X request unlicensed - Resource15,activity,Case Delayed,0.03507406876865446,0.42630083466228136
activity,T02 Check confirmation of receipt - Resource25,activity,Case Delayed,0.0031431881172306283,-0.19195688055072954
activity,T19 Determine report Y to stop indication - Resource11,activity,Case Delayed,0.013719282157669826,0.012821428218787885
activity,T06 Determine necessity of stop advice - Resource26,activity,Case Delayed,-0.029919621247524786,-0.8321314250465927
activity,T07-4 Draft internal advice to hold for type 4 - Resource11,activity,Case Delayed,0.024439063477450933,0.22038186410847108
activity,T04 Determine confirmation of receipt - Resource10,activity,Case Delayed,0.00633938299839278,-0.13007095368968263
activity,T03 Adjust confirmation of receipt - Resource18,activity,Case Delayed,0.023613482403614987,0.20439665298933596
activity,T04 Determine confirmation of receipt - admin1,activity,Case Delayed,0.004919298306596915,-0.1575671673564214
activity,T12 Check document X request unlicensed - Resource13,activity,Case Delayed,0.01199170603220304,-0.02062855018448593
activity,T03 Adjust confirmation of receipt - Resource08,activity,Case Delayed,0.01520022131631496,0.04149592895018539
activity,T14 Determine document X request unlicensed - Resource15,activity,Case Delayed,0.04288510920303166,0.5775411360217476
activity,T10 Determine necessity to stop indication - Resource37,activity,Case Delayed,0.022436237912831728,0.1816024025875292
activity,T07-2 Draft intern advice aspect 2 - Resource09,activity,Case Delayed,0.031830219926479726,0.363492213893161
activity,Case Delayed,activity,Case Delayed,0.5113797790811424,9.648711059279053
activity,T04 Determine confirmation of receipt - Resource33,activity,Case Delayed,0.020649379292009197,0.14700457422261848
activity,T10 Determine necessity to stop indication - Resource28,activity,Case Delayed,0.00736039894003298,-0.1103016591886748
activity,Confirmation of receipt - Resource12,activity,Case Delayed,0.0066316116157650986,-0.12441271334019793
activity,T11 Create document X request unlicensed - Resource13,activity,Case Delayed,0.01199170603220304,-0.02062855018448593
activity,T12 Check document X request unlicensed - Resource06,activity,Case Delayed,0.0019857118363710425,-0.21436837144036744
activity,T06 Determine necessity of stop advice - Resource25,activity,Case Delayed,-0.00889290568414739,-0.42500425356133376
activity,T06 Determine necessity of stop advice - Resource28,activity,Case Delayed,0.00044435285128481474,-0.24421274356544265
activity,Confirmation of receipt - Resource09,activity,Case Delayed,0.03207931689174938,0.3683153229797951
activity,Confirmation of receipt - Resource37,activity,Case Delayed,0.022436237912831728,0.1816024025875292
activity,T04 Determine confirmation of receipt - Resource15,activity,Case Delayed,0.025604082292254957,0.24293939637586837
activity,T02 Check confirmation of receipt - Resource10,activity,Case Delayed,-0.020599057244199716,-0.6516631608574734
activity,T02 Check confirmation of receipt - Resource29,activity,Case Delayed,0.008738962446559868,-0.08360939432051666
activity,T09-1 Process or receive external advice from party 1 - Resource09,activity,Case Delayed,0.03575629289785573,0.4395103147260376
activity,Confirmation of receipt - Resource28,activity,Case Delayed,0.00736039894003298,-0.1103016591886748
activity,T07-5 Draft intern advice aspect 5 - Resource09,activity,Case Delayed,0.04462768877106956,0.6112816167204517
activity,T03 Adjust confirmation of receipt - Resource13,activity,Case Delayed,0.0033867906458409512,-0.18724015681226244
activity,T14 Determine document X request unlicensed - Resource17,activity,Case Delayed,0.03637690545087768,0.45152684828966033
